uid,score
1,0.911304130971019
2,0.7714269327190718
9,0.6825410403463323
12,0.9283891305859994
14,0.5971440349608389
20,0.8430011397396522
25,0.8568291627320586
28,0.881819970969909
30,0.9019995999791013
33,0.8915530426271483
35,0.7937233607242722
37,0.9187703424950052
43,0.8554417957946088
44,0.9129361531368181
45,0.9572789991114398
46,0.8636470144423914
52,0.6693344624120791
53,0.8194565843884493
55,0.6287975255952861
56,0.917251386639589
57,0.9056239516453776
59,0.8575593363562096
60,0.8047643224387112
66,0.8395891492739286
74,0.7747663998558604
75,0.7956066821578237
83,0.850350666316452
84,0.7952136510456747
87,0.8569979100175036
88,0.8795442993068578
95,0.7246361709817271
100,0.913961487730371
101,0.7268093708640245
105,0.35798165929314585
111,0.8507762788565926
114,0.8796779966750723
116,0.85831244877475
118,0.847985721939713
119,0.9041257196219719
123,0.7861606313622023
129,0.8811924381879814
131,0.5366422876546776
132,0.6370180961271759
137,0.8921792571827349
143,0.7145772010063699
147,0.9356704134922416
148,0.7183236648601794
149,0.8098386202741863
156,0.8359871631442154
161,0.7664739029691954
162,0.6073857162824025
170,0.6685802792425087
179,0.8978879548187956
184,0.8413488582597404
187,0.7049823750495707
191,0.5412121937541525
198,0.7929930260022093
206,0.7571943224526777
212,0.4880686554738851
221,0.6991306130648283
222,0.9671516291054704
225,0.7860413487520402
226,0.8204380144395803
228,0.8092277147872904
232,0.9063436290640667
236,0.8585626026735111
237,0.9309440366188246
242,0.5712443715345739
247,0.9246713351823187
252,0.7546762936594706
253,0.8555979597359192
255,0.8817874933541785
258,0.7248878694923262
261,0.6640094102269412
264,0.9229873656865915
268,0.5208333112956338
275,0.9374492477569277
292,0.6628397790269
293,0.8987646660187063
295,0.8319043661038913
305,0.8249075123028295
325,0.8715577506223562
328,0.9550615504961718
330,0.8334307321468666
334,0.8737873307714665
335,0.7970800953351515
350,0.8622973724328179
351,0.47212993876645415
354,0.7979793799336059
357,0.8031760953402426
360,0.879596144775167
361,0.8959917858268089
365,0.40841558305151826
368,0.68640516863875
369,0.8589659753486087
370,0.8899180477055615
374,0.811615573439947
375,0.7564676672606336
377,0.8897013008362618
389,0.8410742429685667
390,0.8312462050470146
399,0.7917949532578031
401,0.9008161666048311
402,0.6748720355928228
403,0.9381446307303973
404,0.5407163947477662
405,0.8170661100009575
415,0.8315634624931284
416,0.6992023871341334
417,0.7169697164567715
425,0.8995679122718525
430,0.97355205760168
436,0.8273403485599102
442,0.9029600279844645
445,0.9430241226149246
446,0.795456453550231
447,0.943072553006838
451,0.7566961357571872
459,0.8327234009978847
461,0.9300136465542627
462,0.9450140616886046
464,0.6808808853860758
465,0.6906764289254562
470,0.8127091442222559
471,0.5142889729481734
473,0.8153576398587903
481,0.6878331266828854
482,0.9210850698026216
487,0.9763802866528815
489,0.8701469072888036
524,0.8583879432561476
528,0.6110794965240981
535,0.5737491969931574
536,0.8136609150818926
545,0.8877633622269585
551,0.8005703216360949
552,0.5695298674321009
563,0.8221072264069865
566,0.7442235721542434
573,0.8379270542469545
576,0.6963155351331498
577,0.7500495819413951
579,0.9303596133607864
583,0.8846478873669812
595,0.7579662199160949
596,0.8395866472138891
598,0.7154321748614945
600,0.8538060110885616
603,0.781043991307918
607,0.8397986800268069
608,0.7626075933670386
613,0.7375892123557425
614,0.8534813790199131
616,0.8465007868574532
618,0.8713570520187969
620,0.7576584938864304
623,0.8358674005355531
624,0.8105219531409751
628,0.8958677370398562
630,0.7831719549504823
637,0.8359296996344406
645,0.8217048893954533
652,0.7228515223234705
653,0.772492452580937
665,0.8384817825453942
667,0.6520589694798891
668,0.8375392452586603
669,0.7823238394235937
